college_id;isention_start_isention_end;inscription_start_inscription_end;divulgation_date
101;03/10/2023-09/10/2023;11/10/2023-07/12/2023;23/01/2024
102;19/06/2023-06/07/2023;01/08/2023-06/10/2023;22/01/2024
103;17/07/2023-04/08/2023;07/08/2023-08/09/2023;05/02/2024
104;13/05/2023-07/06/2023;31/07/2023-08/09/2023;13/02/2024
105;N/A;Via Enem;Conforme cronograma Enem
106;N/A;Via SiSU;Conforme cronograma SiSU
107;01/11/2023-08/12/2023;01/11/2023-08/12/2023;Fevereiro/2024
108;N/A;29/05/2024-22/08/2024;24/01/2025
109;Via Enem;Via Enem;Conforme cronograma Enem
110;Via Enem;Via Enem;Conforme cronograma Enem
111;Via Enem;Via Enem;Conforme cronograma Enem
112;Via Enem;Via Enem;Conforme cronograma Enem
113;Via Enem;Via Enem;Conforme cronograma Enem